LOCALIDADE_ID;ESTADO;CIDADE
1612117691;AC;ASSIS BRASIL
1436758092;AC;CRUZEIRO DO SUL
3886173753;AC;FEIJÓ
3492147588;AC;MANOEL URBANO
1296763522;AC;MARECHAL THAUMATURGO
534391061;AC;PORTO WALTER
196190323;AC;RIO BRANCO
425320502;AC;SANTA ROSA DO PURUS
4089672419;AC;SENA MADUREIRA
3327300963;AC;SENADOR GUIOMARD
3633616473;AC;TARAUACÁ
1475310094;AL;ARAPIRACA
3802590476;AL;BELÉM
3348547191;AL;CAMPO GRANDE
2984553706;AL;FELIZ DESERTO
498923477;AL;IBATEGUARA
343582086;AL;MACEIÓ
324538240;AL;MARAGOGI
1609618098;AL;MATRIZ DE CAMARAGIBE
1206959177;AL;NOVO LINO
2945897840;AL;RIO LARGO
3613925884;AL;ÁGUA BRANCA
3832324931;AM;ANAMÃ
3098075750;AM;APUÍ
2094108780;AM;ATALAIA DO NORTE
3543889252;AM;AUTAZES
976707503;AM;BARCELOS
411015591;AM;BOA VISTA DO RAMOS
2073220029;AM;BOCA DO ACRE
1289441168;AM;CANUTAMA
3599916539;AM;CARAUARI
3861378022;AM;COARI
3924669113;AM;EIRUNEPÉ
98884789;AM;ENVIRA
4229830335;AM;FONTE BOA
510201384;AM;IPIXUNA
2716172721;AM;IRANDUBA
392454242;AM;ITACOATIARA
1106961551;AM;ITAMARATI
3421998741;AM;ITAPIRANGA
2869788505;AM;JAPURÁ
1725015696;AM;JURUÁ
3688276721;AM;LÁBREA
213476187;AM;MANAQUIRI
1285619790;AM;MANAUS
354967681;AM;MANICORÉ
3442514867;AM;MAUÉS
1423831367;AM;NOVA OLINDA DO NORTE
2150771750;AM;NOVO AIRÃO
2321686479;AM;NOVO ARIPUANÃ
1543664059;AM;PARINTINS
783721165;AM;PAUINI
4156131636;AM;PRESIDENTE FIGUEIREDO
2131774496;AM;SÃO GABRIEL DA CACHOEIRA
254221693;AM;SÃO PAULO DE OLIVENÇA
628417265;AM;TABATINGA
2734727643;AM;TEFÉ
3686015920;AP;MACAPÁ
287985768;AP;SANTANA
681653211;BA;ALAGOINHAS
458813167;BA;AMARGOSA
3374322635;BA;ANDARAÍ
148666011;BA;ARACATU
1991475606;BA;BARREIRAS
1951180000;BA;BELMONTE
3213843364;BA;BOA VISTA DO TUPIM
3514679489;BA;BOQUIRA
1522553796;BA;CAIRU
1045990541;BA;CAMAÇARI
2678339952;BA;CARAVELAS
3219793467;BA;CONCEIÇÃO DA FEIRA
4256276198;BA;CONCEIÇÃO DO COITÉ
3525097932;BA;CONDEÚBA
1698642576;BA;CORIBE
2348225983;BA;CORRENTINA
1744096105;BA;COTEGIPE
2191852165;BA;EUNÁPOLIS
3164405170;BA;FEIRA DE SANTANA
3877191799;BA;FORMOSA DO RIO PRETO
2898460314;BA;ILHÉUS
773452374;BA;INHAMBUPE
3390986364;BA;ITABELA
114434220;BA;ITAJU DO COLÔNIA
40108432;BA;ITAMARAJU
2336609174;BA;ITAPETINGA
2543884883;BA;JABORANDI
544083153;BA;JAGUARIPE
150180035;BA;JEQUIÉ
1827548593;BA;LAURO DE FREITAS
2133538418;BA;LENÇÓIS
1428304714;BA;LUÍS EDUARDO MAGALHÃES
2100409092;BA;MACARANI
3916135959;BA;MARAÚ
480301555;BA;MATA DE SÃO JOÃO
2290930905;BA;MUCUGÊ
3414745175;BA;MUCURI
3210740803;BA;PAULO AFONSO
3719321642;BA;PORTO SEGURO
3502595058;BA;PRADO
1883792498;BA;RIACHÃO DAS NEVES
3767511917;BA;SALVADOR
698598588;BA;SANTA RITA DE CÁSSIA
224624203;BA;SENTO SÉ
640703408;BA;SÃO DESIDÉRIO
3013625395;BA;SÃO SEBASTIÃO DO PASSÉ
1484785149;BA;TAPIRAMUTÁ
2806711988;BA;TEIXEIRA DE FREITAS
820328557;BA;UAUÁ
818908540;BA;URANDI
3119936794;BA;VALENÇA
4018838412;BA;VERA CRUZ
1304847377;BA;VITÓRIA DA CONQUISTA
1590569222;CE;AQUIRAZ
2008848499;CE;BEBERIBE
1995638212;CE;BOA VIAGEM
3918692259;CE;CAMOCIM
2755964185;CE;CARIDADE
4192633885;CE;CAUCAIA
444075851;CE;CHORÓ
2329324033;CE;CRATEÚS
49681070;CE;CRUZ
2706442202;CE;FORTALEZA
453835471;CE;GUARACIABA DO NORTE
1630504369;CE;GUARAMIRANGA
1591392776;CE;IGUATU
4128525522;CE;IRAUÇUBA
783724059;CE;ITAPIPOCA
2052590836;CE;JUAZEIRO DO NORTE
585242761;CE;MARANGUAPE
471251497;CE;OCARA
1545939583;CE;ORÓS
4091702035;CE;PACAJUS
3959299591;CE;QUIXADÁ
1500253001;CE;SÃO BENEDITO
1624318920;DF;BRASÍLIA
528820729;ES;AFONSO CLÁUDIO
841116924;ES;ALFREDO CHAVES
3320257789;ES;ARACRUZ
3410802938;ES;BAIXO GUANDU
1938397721;ES;CACHOEIRO DE ITAPEMIRIM
4016057891;ES;CASTELO
2359009126;ES;COLATINA
1997033821;ES;DOMINGOS MARTINS
3271500313;ES;GUARAPARI
2159512769;ES;JAGUARÉ
290076725;ES;LINHARES
877811427;ES;SERRA
4146032430;ES;SÃO GABRIEL DA PALHA
266682491;ES;SÃO MATEUS
2029240674;ES;VENDA NOVA DO IMIGRANTE
1316169311;ES;VIANA
888275051;ES;VILA VELHA
2010980610;ES;VITÓRIA
11462718;GO;ABADIA DE GOIÁS
3335601121;GO;ACREÚNA
1963297927;GO;ALTO HORIZONTE
1519742340;GO;ALTO PARAÍSO DE GOIÁS
3830300217;GO;ANÁPOLIS
1593380436;GO;ARAGARÇAS
146512357;GO;ARAÇU
2482158985;GO;ARUANÃ
3609371093;GO;BARRO ALTO
893675122;GO;BOM JESUS DE GOIÁS
1921142998;GO;BURITI ALEGRE
814382344;GO;CABECEIRAS
2668439838;GO;CACHOEIRA DOURADA
666579450;GO;CAIAPÔNIA
2681389126;GO;CALDAS NOVAS
3960324643;GO;CAMPINORTE
886260896;GO;CAMPO LIMPO DE GOIÁS
2360338039;GO;CATALÃO
511680569;GO;CAÇU
1090774902;GO;CERES
1120532159;GO;CHAPADÃO DO CÉU
2154316726;GO;CORUMBAÍBA
322530333;GO;CORUMBÁ DE GOIÁS
3635748070;GO;EDÉIA
3048537084;GO;FORMOSA
3486419921;GO;GOIANIRA
2945741935;GO;GOIATUBA
2493689868;GO;GOIÁS
2515034;GO;GOIÂNIA
2470948382;GO;INACIOLÂNDIA
2355882668;GO;IPAMERI
3780750388;GO;ITAPACI
291278353;GO;ITAPIRAPUÃ
145903700;GO;ITAPURANGA
3348632659;GO;ITAUÇU
2786247638;GO;ITUMBIARA
716509728;GO;JANDAIA
3022460325;GO;JATAÍ
1316660514;GO;JUSSARA
995547216;GO;LEOPOLDO DE BULHÕES
4023303023;GO;LUZIÂNIA
3549409187;GO;MONTES CLAROS DE GOIÁS
3477940951;GO;MONTIVIDIU
2389114564;GO;MOZARLÂNDIA
1757770070;GO;NAZÁRIO
3259493326;GO;NIQUELÂNDIA
1375036788;GO;NOVO GAMA
2114262131;GO;NOVO PLANALTO
3136686787;GO;ORIZONA
116128042;GO;PALMEIRAS DE GOIÁS
3318913735;GO;PARAÚNA
901298918;GO;PEROLÂNDIA
4060915343;GO;PETROLINA DE GOIÁS
630324155;GO;PIRACANJUBA
551890540;GO;PIRANHAS
2065091172;GO;PIRENÓPOLIS
120430211;GO;PLANALTINA
411040914;GO;QUIRINÓPOLIS
3269330585;GO;RIO VERDE
4204992824;GO;SANTA HELENA DE GOIÁS
1130417295;GO;SANTA ISABEL
4194702031;GO;SANTA RITA DO ARAGUAIA
443637784;GO;SANTA RITA DO NOVO DESTINO
2887103084;GO;SANTO ANTÔNIO DE GOIÁS
1231325744;GO;SENADOR CANEDO
1444530028;GO;SERRANÓPOLIS
3709112199;GO;SILVÂNIA
154680038;GO;SÃO LUÍS DE MONTES BELOS
3152560984;GO;TERESINA DE GOIÁS
3287816148;GO;TRINDADE
1217354531;GO;TRÊS RANCHOS
4170770551;GO;URUAÇU
